"Organisation Name","Town/City","County","Type & Rating","Route"
"Pollysys Global Solutions Ltd","Hayes","London","Worker (A rating)","Skilled Worker"
"POLO BREEDING LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"Polok London Limited","London",,"Worker (A rating)","Skilled Worker"
"Poloplex Limited, T/A Amigos Burgers and Shakes","London",,"Worker (A rating)","Skilled Worker"
"POLOWOOD LIMITED","London",,"Worker (A rating)","Skilled Worker"
"POLSKA ZABKA UK LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"POLTRONA FRAU ( UK) LIMITED","LONDON",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"POLTRONA FRAU ( UK) LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"POLTUR LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Polus Capital Management Group Limited","London",,"Worker (A rating)","Skilled Worker"
"Poly Dry Cleaners Ltd","London",,"Worker (A rating)","Skilled Worker"
"Poly UK Real Estate Management Limited","London",,"Worker (A rating)","Skilled Worker"
"Poly UK Real Estate Management Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PolyAI Limited","London",,"Worker (A rating)","Skilled Worker"
"Polyclinic Services Limited","LONDON","Select...","Worker (A rating)","Skilled Worker"
"Polydor Seafood Limited","London",,"Worker (A rating)","Skilled Worker"
"POLYGON PROPERTY LTD","London",,"Worker (A rating)","Skilled Worker"
"Polygon Public House Limited","London",,"Worker (A rating)","Skilled Worker"
"Polymateria Limited","London",,"Worker (A rating)","Skilled Worker"
"POLYMATHIC SERVICES LTD","London",,"Worker (A rating)","Skilled Worker"
"POLYMAT","Thamesmead","London","Worker (A rating)","Skilled Worker"
"Polymetal London ltd","London",,"Worker (A rating)","Skilled Worker"
"Polymetal London ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Polyn Technology Limited","Fitzrovia","London","Worker (A rating)","Skilled Worker"
"Polyn Technology Limited","Fitzrovia","London","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Polysurance Limited","London",,"Worker (A rating)","Skilled Worker"
"Polyus Finance Plc","London",,"Worker (A rating)","Skilled Worker"
"POMCHICK LTD","London",,"Worker (A rating)","Skilled Worker"
"Pomelo Pay","London",,"Worker (A rating)","Skilled Worker"
"Pometry Ltd","London",,"Worker (A rating)","Skilled Worker"
"Pomona Europe Advisers Limited","London",,"Worker (A rating)","Skilled Worker"
"Pomona Europe Advisers Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Pon Pottery Lab Ltd","London",,"Worker (A rating)","Skilled Worker"
"Ponchodinga Limited T/A Afghan Grill","London",,"Worker (A rating)","Skilled Worker"
"Pond5 Media Ireland Ltd","London",,"Worker (A rating)","Skilled Worker"
"Pondicherry Designs Ltd","London",,"Worker (A rating)","Skilled Worker"
"Pontegadea UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"Pontegadea UK Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PontStreet9 Limited t/a Co.","London",,"Worker (A rating)","Skilled Worker"
"POOJA SWEETS & SAVOURIES LTD","London",,"Worker (A rating)","Skilled Worker"
"POOJA SWEETS KINGSBURY LTD.","LONDON",,"Worker (A rating)","Skilled Worker"
"POOJA'S CAKE FACTORY LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Poor Servants of the Mother of God","London",,"Temporary Worker (A rating)","Religious Worker"
"Poor Servants of the Mother of God","London",,"Worker (A rating)","Tier 2 Ministers of Religion"
"POP Bakery Limited","London",,"Worker (A rating)","Skilled Worker"
"POP CAM LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"POP MART UK CORPORATION LTD","London",,"Worker (A rating)","Skilled Worker"
"Popcorn Group Ltd","London",,"Worker (A rating)","Skilled Worker"
"Popcorn Shed Ltd","London","London","Worker (A rating)","Skilled Worker"
"POPERINGE LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"POPHAMS BAKERY LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"POPLAR CHICKEN & PIZZA LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"POPLAR CONVENIENCE LIMITED T/A COST CUT","London",,"Worker (A rating)","Skilled Worker"
"Poplar Housing and Regeneration Community Association Limited","London",,"Worker (A rating)","Skilled Worker"
"POPLAR KITCHEN LTD T/a Poplar Spice","London",,"Worker (A rating)","Skilled Worker"
"POPLAR MOSQUE AND COMMUNITY CENTRE LIMITED","London",,"Worker (A rating)","Tier 2 Ministers of Religion"
"POPLAR MOSQUE AND COMMUNITY CENTRE LIMITED","London",,"Worker (A rating)","Skilled Worker"
"POPLAR MOSQUE AND COMMUNITY CENTRE LIMITED","London",,"Temporary Worker (A rating)","Charity Worker"
"POPLAR MOSQUE AND COMMUNITY CENTRE LIMITED","London",,"Temporary Worker (A rating)","Religious Worker"
"POPPIN SHAFTESBURY LTD","London",,"Worker (A rating)","Skilled Worker"
"Poppins Agency Limited","London",,"Worker (A rating)","Skilled Worker"
"Popson Healthcare Ltd","London","England","Worker (A rating)","Skilled Worker"
"Populous Ltd","London",,"Worker (A rating)","Skilled Worker"
"Populous Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Poq Studio Ltd","London",,"Worker (A rating)","Skilled Worker"
"PORCELAIN STONES LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Porfan Metalwork Ltd","London","76","Worker (A rating)","Skilled Worker"
"PORLAND UK LIMITED","London",,"Worker (UK Expansion Worker: Provisional)","Global Business Mobility: UK Expansion Worker"
"Port Saffron Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Portable Multimedia Limited t/a Nextbase","London",,"Worker (A rating)","Skilled Worker"
"Portal Biotech Limited","London",,"Worker (A rating)","Skilled Worker"
"Portal Studio Limited","London",,"Worker (A rating)","Skilled Worker"
"Portals Music Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"PORTALSOFT LTD","London",,"Worker (A rating)","Skilled Worker"
"Portas Agency Ltd","London",,"Worker (A rating)","Skilled Worker"
"Portas Consulting Limited","London",,"Worker (A rating)","Skilled Worker"
"Portas Consulting Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Portclean Services Solutions Limited","London",,"Worker (A rating)","Skilled Worker"
"Porte Noire Kings Cross Ltd","London",,"Worker (A rating)","Skilled Worker"
"Portfolio BI Ltd","London",,"Worker (A rating)","Skilled Worker"
"Portfolio BI Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Portland Food & Wine Ltd","London",,"Worker (A rating)","Skilled Worker"
"Portland Group Properties LTD","London",,"Worker (A rating)","Skilled Worker"
"Portland London LTD","London",,"Worker (A rating)","Skilled Worker"
"Portland Medical Centre","London",,"Worker (A rating)","Skilled Worker"
"PORTMAN DIGITAL MARKETING LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"PORTMAN SETTLED ESTATES LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"PORTOBELLO INTERNATIONAL LTD","London",,"Worker (A rating)","Skilled Worker"
"Portsea Asset Management LLP","London","England","Worker (A rating)","Skilled Worker"
"Portvalley Limited","London",,"Worker (A rating)","Skilled Worker"
"Portway Solicitors","London",,"Worker (A rating)","Skilled Worker"
"Posada & Co.","London",,"Worker (A rating)","Skilled Worker"
"Posco Capital Partners Plc","London",,"Worker (A rating)","Skilled Worker"
"POSCO INTERNATIONAL CORPORATION LONDON BRANCH","New Malden","Surrey","Worker (A rating)","Skilled Worker"
"POSCO INTERNATIONAL CORPORATION LONDON BRANCH","New Malden","Surrey","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Posh Cockney Limited","London",,"Worker (A rating)","Skilled Worker"
"POSH WAY LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"PositiveLuxury Limited","London",,"Worker (A rating)","Skilled Worker"
"Positiv-id Touring Limited","London",,"Temporary Worker (A rating)","Creative Worker"
"Posix Limited","London",,"Worker (A rating)","Skilled Worker"
"Postdot Technologies UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"Postdot Technologies UK Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Potboiler Productions Limited","London",,"Worker (A rating)","Skilled Worker"
"Poten & Partners (Uk) LTD","London",,"Worker (A rating)","Skilled Worker"
"Poten & Partners (Uk) LTD","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Potentialife Limited","London",,"Worker (A rating)","Skilled Worker"
"POTENZA BUILDING MATERIALS LTD","London",,"Worker (A rating)","Skilled Worker"
"Potru Ltd","London",,"Worker (A rating)","Skilled Worker"
"Pottage Restaurant Ltd","London",,"Worker (A rating)","Skilled Worker"
"POTTER'S HOUSE CHRISTIAN FELLOWSHIP CHURCH OF SOUTH LONDON","LONDON","Yes","Worker (A rating)","Tier 2 Ministers of Religion"
"Poultry Opco Limited","London",,"Worker (A rating)","Skilled Worker"
"Pound Trade Ltd","LONDON",,"Worker (A rating)","Skilled Worker"
"POUND4U LTD","London",,"Worker (A rating)","Skilled Worker"
"POW Food Limited","London",,"Worker (A rating)","Skilled Worker"
"Powder White Lite Ltd","London",,"Worker (A rating)","Skilled Worker"
"Powell Gilbert LLP","London",,"Worker (A rating)","Skilled Worker"
"Power Electronics Corp. UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Power Electronics Corp. UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Power Metal Resources PLC","London",,"Worker (A rating)","Skilled Worker"
"Power System Consultants Limited T/A Smart G Power","London",,"Worker (A rating)","Skilled Worker"
"Power Transfer Ltd","London",,"Worker (A rating)","Skilled Worker"
"Power2Motivate UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Power2Motivate UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Power2X Solutions UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Powerful Ideas in Action Ltd","London",,"Worker (A rating)","Skilled Worker"
"Powering up Britain Ltd t/a Britain Energy","Stratford","London","Worker (A rating)","Skilled Worker"
"Powerpillar Ltd","London",,"Worker (A rating)","Skilled Worker"
"POWERSCOURT LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"POWERTECH HEATING SOLUTIONS LTD","London",,"Worker (A rating)","Skilled Worker"
"POWERVAULT LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"PowerX Technology Limited","London",,"Worker (A rating)","Skilled Worker"
"Powerzone","London",,"Worker (A rating)","Skilled Worker"
"Powwow Holdings Limited","London",,"Worker (A rating)","Skilled Worker"
"Pozitive Energy Ltd","London",,"Worker (A rating)","Skilled Worker"
"PP Asset Management Ltd","London",,"Worker (A rating)","Skilled Worker"
"PPH Capital Limited","London",,"Worker (A rating)","Skilled Worker"
"PPL - Phonographic Performance Limited","London",,"Worker (A rating)","Skilled Worker"
"PPL (Private Public Ltd)","London",,"Worker (A rating)","Skilled Worker"
"PPM International (London), Ltd","London",,"Worker (A rating)","Skilled Worker"
"PPM International (London), Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PPRO Financial Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PPRO Financial Ltd","London",,"Worker (A rating)","Skilled Worker"
"PQE GROUP LTD","London",,"Worker (A rating)","Skilled Worker"
"PQE GROUP LTD","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PRABHU-SHRIRAM LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"Pracedo Ltd","London",,"Worker (A rating)","Skilled Worker"
"PraChi Tech Ltd","London",,"Worker (A rating)","Skilled Worker"
"Pracipio Ltd","London",,"Worker (A rating)","Skilled Worker"
"Practice Ignition Limited","London",,"Worker (A rating)","Skilled Worker"
"Practicool Ltd","London","England","Worker (A rating)","Skilled Worker"
"Practika Finance Limited","London",,"Worker (A rating)","Skilled Worker"
"PRACYVA LTD","London",,"Worker (A rating)","Skilled Worker"
"Prada Retail UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"Prada Retail UK Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PRADERA LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Pradip Patel Limited","London",,"Worker (A rating)","Skilled Worker"
"Pragma Consulting Limited","London",,"Worker (A rating)","Skilled Worker"
"Pragma UK Financial Services Ltd","London","Cheshire","Worker (UK Expansion Worker: Provisional)","Global Business Mobility: UK Expansion Worker"
"PragmatechUK Ltd","London",,"Worker (A rating)","Skilled Worker"
"Praise Harvest Community Church","London","London","Worker (A rating)","Tier 2 Ministers of Religion"
"Pramas Trading Limited","London",,"Worker (A rating)","Skilled Worker"
"Pramex International Ltd","London",,"Worker (A rating)","Skilled Worker"
"PRAMIT LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"PRAMUKH CONVENIENCE LTD","London",,"Worker (A rating)","Skilled Worker"
"Pramukh Hari Limited","London",,"Worker (A rating)","Skilled Worker"
"Pranda UK Limited","Wimbledon","London","Worker (A rating)","Skilled Worker"
"Pratham UK","London",,"Temporary Worker (A rating)","Charity Worker"
"Pravas Construction LTD","London","Essex","Worker (A rating)","Skilled Worker"
"PRAVIN A PATTNI LIMITED T/A MINAR JEWELLERS"," LONDON",,"Worker (A rating)","Skilled Worker"
"PRAX PHYSIO LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Praxis Alpha Partners LLP","London",,"Worker (A rating)","Skilled Worker"
"Praxonomy Limited","London",,"Worker (A rating)","Skilled Worker"
"Praytell UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Praytell UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Preciosa Lighting UK Ltd.","London",,"Worker (A rating)","Skilled Worker"
"PRECIOUS LONDON LIMITED","Buckinghamshire,",,"Worker (A rating)","Skilled Worker"
"Precious Media Limited","London",,"Worker (A rating)","Skilled Worker"
"Precious Thoughts Cards & Gifts Limited","London",,"Worker (A rating)","Skilled Worker"
"Precipuus Ltd","London",,"Worker (A rating)","Skilled Worker"
"PRECISE FINANCIAL MANAGEMENT SERVICES UK LTD","London",,"Worker (A rating)","Skilled Worker"
"Precise Health Ltd","London","Twickenham","Worker (A rating)","Global Business Mobility: UK Expansion Worker"
"Precise Media Monitoring Limited","London",,"Worker (A rating)","Skilled Worker"
"Precise.TV Limited","London",,"Worker (A rating)","Skilled Worker"
"Precision Bodyshop Ltd","London",,"Worker (A rating)","Skilled Worker"
"Precision Engineering Plastics Ltd","LONDON","ENFIELD","Worker (A rating)","Skilled Worker"
"Precision Microdrives Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Precision Processing Services Limited","Maydown","Londonderry","Worker (A rating)","Skilled Worker"
"PrecisionAdvisors, Ltd.","London",,"Worker (A rating)","Skilled Worker"
"PrecisionAdvisors, Ltd.","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PRECISIONTECH IT SOLUTIONS LTD","London",,"Worker (A rating)","Skilled Worker"
"Precursive Limited","London","London","Worker (A rating)","Skilled Worker"
"PREDICOMM LTD","London",,"Worker (A rating)","Skilled Worker"
"Predictive Black","London","London","Worker (A rating)","Skilled Worker"
"Predictspring UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Predictspring UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Prediko Ltd","London","London","Worker (A rating)","Skilled Worker"
"Preeya's Thai Kitchen","Leytonstone","London","Worker (A rating)","Skilled Worker"
"Prefect Accountants Limited","London","Greater London","Worker (A rating)","Skilled Worker"
"Preiskel & Co LLP","London",,"Worker (A rating)","Skilled Worker"
"PRELOADED","London","London","Worker (A rating)","Skilled Worker"
"Prelude Capital (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"Prelude Capital (UK) Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PREMAX LTD","London",,"Worker (A rating)","Skilled Worker"
"Premcard Limited","London",,"Worker (A rating)","Skilled Worker"
"PremFina Limited","London",,"Worker (A rating)","Skilled Worker"
"Premia Managing Agency Services Limited","London",,"Worker (A rating)","Skilled Worker"
"Premier Advisory Group Limited","London",,"Worker (A rating)","Skilled Worker"
"Premier Car Audio & Styling LTD","London",,"Worker (A rating)","Skilled Worker"
"Premier Care Contracts UK Ltd","STRATFORD","LONDON","Worker (A rating)","Skilled Worker"
"Premier Cotracts London Ltd","London","Essex","Worker (A rating)","Skilled Worker"
"Premier Dry Cleaners & Launderers Ltd","London",,"Worker (A rating)","Skilled Worker"
"PREMIER EXPORTS LONDON LTD","LUTON",,"Worker (A rating)","Skilled Worker"
"PREMIER FINANCIAL MANAGEMENT (STRATFORD) LTD T/A PREMIER PROPERTIES","LONDON",,"Worker (A rating)","Skilled Worker"
"Premier Forex Limited","London",,"Worker (A rating)","Skilled Worker"
"PREMIER JEWELLERS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Premier Laser Clinic (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"Premier Laser Salon Ltd","London",,"Worker (A rating)","Skilled Worker"
"Premier Life Limited","London",,"Worker (A rating)","Skilled Worker"
"Premier Lotteries UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Premier Marketing and Distribution Ltd trading as Renful Premier Technologies","London",,"Worker (A rating)","Skilled Worker"
"Premier Model Management Ltd","London",,"Worker (A rating)","Skilled Worker"
"Premier Model Management Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"Premier Model Management","London",,"Worker (A rating)","Skilled Worker"
"Premier Model Management","London",,"Temporary Worker (A rating)","Creative Worker"
"Premier Security & Fire Consultants Ltd","Leyton","London","Worker (A rating)","Skilled Worker"
"Premise Data UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Premium Care Group Ltd","London",,"Worker (A rating)","Skilled Worker"
"Premium Education International Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Premium German Kitchens Ltd","London",,"Worker (A rating)","Skilled Worker"
"PREMIUM HALAL (UK) BUTCHERS LTD","London",,"Worker (A rating)","Skilled Worker"
"Premium Property Investment and Management Limited","London",,"Worker (A rating)","Skilled Worker"
"Premium Tours Limited","London",,"Worker (A rating)","Skilled Worker"
"Premonition Software Limited","London",,"Worker (A rating)","Skilled Worker"
"Premvas Catering Ltd T/A Thiru Ananthapuram Restaurant","London",,"Worker (A rating)","Skilled Worker"
"Prepaid Financial Services Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Prepaid Financial Services Limited","London",,"Worker (A rating)","Skilled Worker"
"PREPPY KITCHEN UK LTD","London",,"Worker (A rating)","Global Business Mobility: UK Expansion Worker"
"PREQIN LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Pres Retail Ltd","London",,"Worker (A rating)","Skilled Worker"
"Presbyterian Church of Ghana, Anointed Congregation - UK","Streatham","London","Worker (A rating)","Tier 2 Ministers of Religion"
"PRESCIENT HEALTHCARE GROUP (UK) LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"PRESCRIBING LIFESTYLE LTD","London",,"Worker (A rating)","Skilled Worker"
"Preservation Capital Partners Limited","London",,"Worker (A rating)","Skilled Worker"
"Presidency London College Limited","London",,"Worker (A rating)","Skilled Worker"
"PRESIDENTIAL CARE LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Presidents Summit Limited","London","United Kingdom","Worker (A rating)","Skilled Worker"
"Presidio Solutions UK Limited"," London",,"Worker (A rating)","Skilled Worker"
"Prestat Group","London",,"Worker (A rating)","Skilled Worker"
"PRESTBURY INVESTMENT HOLDINGS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"PRESTIGE AUTO SEAT COVERS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Prestige Bodywork London Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Prestige Car Specialist Ltd","London",,"Worker (A rating)","Skilled Worker"
"PRESTIGE CARE EK LTD","London",,"Worker (A rating)","Skilled Worker"
"Prestige Construction Group Limited","London",,"Worker (A rating)","Skilled Worker"
"Prestige Constructions International Ltd","London",,"Worker (A rating)","Global Business Mobility: UK Expansion Worker"
"Prestige Constructions London Ltd.","Romford","esees","Worker (A rating)","Skilled Worker"
"PRESTIGE HAIR LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"Prestige Incoming Services Limited","London",,"Worker (A rating)","Skilled Worker"
"PRESTIGE MEDICS LTD","London",,"Worker (A rating)","Skilled Worker"
"Prestige Optical Limited","London","London","Worker (A rating)","Skilled Worker"
"PRESTIGE SECURE SERVICES LTD","London",,"Worker (A rating)","Skilled Worker"
"Prestigious Dry Cleaning Ltd","London",,"Worker (A rating)","Skilled Worker"
"Pret a Manger (Europe) Limited","London",,"Worker (A rating)","Skilled Worker"
"Pret a Manger (Europe) Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Pretium Search","London","UK","Worker (A rating)","Skilled Worker"
"Pretium UK Partners Limited","London",,"Worker (A rating)","Skilled Worker"
"Pretium UK Partners Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PRETORIA ENTERPRISE LTD","London",,"Worker (A rating)","Skilled Worker"
"Prettybird Limited","London",,"Worker (A rating)","Skilled Worker"
"Prettybird Limited","London",,"Temporary Worker (A rating)","Creative Worker"
"Prettybird UK Ltd.","London",,"Temporary Worker (A rating)","Creative Worker"
"Prettybird UK Ltd.","London",,"Worker (A rating)","Skilled Worker"
"PreviewMe Ltd","London",,"Worker (A rating)","Skilled Worker"
"Previse Limited","London",,"Worker (A rating)","Skilled Worker"
"Prezzee UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Prezzee UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PREZZEMOLO & VITALE UK LTD","London",,"Worker (A rating)","Skilled Worker"
"Prezzo Trading Limited","London",,"Worker (A rating)","Skilled Worker"
"PRG GROUP LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"PRI Association Limited","London",,"Worker (A rating)","Skilled Worker"
"Price & Myers LLP","London","England","Worker (A rating)","Skilled Worker"
"PRICE CUTTER (GREEN STREET) LTD","London",,"Worker (A rating)","Skilled Worker"
"PRICE FORBES & PARTNERS LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Price Industries (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"Price Industries (UK) Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Price Parizi LLP","London",,"Worker (A rating)","Skilled Worker"
"Priceline.com Europe Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Priceline.com Europe Limited","London",,"Worker (A rating)","Skilled Worker"
"PRICELOCK LTD","London",,"Worker (A rating)","Skilled Worker"
"PricewaterhouseCoopers LLP","London",,"Worker (A rating)","Skilled Worker"
"PricewaterhouseCoopers LLP","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PricewaterhouseCoopers LLP","London",,"Temporary Worker (A rating)","Global Business Mobility: Graduate Trainee"
"Pricing Monkey Ltd","London",,"Worker (A rating)","Skilled Worker"
"Pridestone Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"Priestman Goode Limited t/a Priestmangoode","London","London","Worker (A rating)","Skilled Worker"
"Prima Ekuiti (UK) Ltd","London",,"Worker (A rating)","Skilled Worker"
"Prima Ekuiti (UK) Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Prima Insurance UK","London",,"Worker (A rating)","Skilled Worker"
"Prima Insurance UK","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PRIMARY CARE CHEMISTS LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Primary Care Point Limited T/A PCP Dental Recruitment","London",,"Worker (A rating)","Skilled Worker"
"Primary Group (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"Primary Health (London) Limited T/A Rosewood Pharmacy","Essex",,"Worker (A rating)","Skilled Worker"
"Primary Portal Solutions Ltd","London",,"Worker (A rating)","Skilled Worker"
"Primary Talent International Limited","London",,"Temporary Worker (A rating)","Creative Worker"
"Primary Water Treatment","London",,"Worker (A rating)","Skilled Worker"
"PRIMARYBID LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Primatas Ltd T/A Westkin Associates","London",,"Worker (A rating)","Skilled Worker"
"Prime and Passionate Healthcare Ltd","London",,"Worker (A rating)","Skilled Worker"
"Prime Building Maintenance Limited","London",,"Worker (A rating)","Skilled Worker"
"Prime Calibre Care Group Ltd","Romford","Greater London","Worker (A rating)","Skilled Worker"
"Prime Collateralised Securities (PCS) UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"Prime Consulting (U.K) Ltd","London",,"Worker (A rating)","Skilled Worker"
"Prime Energy Markets Limited","London",,"Worker (A rating)","Skilled Worker"
"Prime Enterprises Ltd","London",,"Worker (A rating)","Skilled Worker"
"PRIME FOCUS INTERNATIONAL SERVICES UK LTD","LONDON","LONDON","Worker (A rating)","Skilled Worker"
"PRIME FOCUS INTERNATIONAL SERVICES UK LTD","LONDON","LONDON","Temporary Worker (A rating)","Creative Worker"
"PRIME FOCUS INTERNATIONAL SERVICES UK LTD","LONDON","LONDON","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Prime Food Enterprise Ltd T/A Roast & Co.","London",,"Worker (A rating)","Skilled Worker"
"Prime Food Suffolk Ltd","Forest Gate","London","Worker (A rating)","Skilled Worker"
"Prime General Contractor Ltd","London",,"Worker (A rating)","Skilled Worker"
"Prime Healthcare Avenue Ltd","Ealing","West London","Worker (A rating)","Skilled Worker"
"Prime Hotels (UK) Ltd","London",,"Worker (A rating)","Skilled Worker"
"Prime Immigration Consultants","London",,"Worker (A rating)","Skilled Worker"
"PRIME LAND PROPERTY","LONDON",,"Worker (A rating)","Skilled Worker"
"Prime London Interiors Ltd","London",,"Worker (A rating)","Skilled Worker"
"PRIME MED TOURS LTD","London",,"Worker (A rating)","Skilled Worker"
"Prime Metro Properties","London",,"Worker (A rating)","Skilled Worker"
"Prime Nexus London Limited","Brentford",,"Worker (A rating)","Skilled Worker"
"Prime Source Foods Ltd","London","England","Worker (A rating)","Skilled Worker"
"Prime Taxation Ltd","London",,"Worker (A rating)","Skilled Worker"
"PRIME TAXTRUST ADVISORY LTD","London",,"Worker (A rating)","Skilled Worker"
"Prime Tuition Services Limited","London",,"Worker (A rating)","Skilled Worker"
"Prime Tutors Ltd","London",,"Worker (A rating)","Skilled Worker"
"Primedeck (U.K) Limited","London",,"Worker (A rating)","Skilled Worker"
"PRIMELAUNDRY LTD","London",,"Worker (A rating)","Skilled Worker"
"Primer API Limited","London",,"Worker (A rating)","Skilled Worker"
"PRIMERA CORPORATION LIMITED","London","England","Worker (A rating)","Skilled Worker"
"PrimeRevenue UK Limited","London",,"Worker (A rating)","Skilled Worker"
"PrimeRevenue UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"PrimeStone Capital Services (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"Primonial Reim UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"PRIMROSE CONSTRUCTION LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Primrose Healthcare Solutions Limited","London",,"Worker (A rating)","Skilled Worker"
"Primus Capital Limited","London",,"Worker (A rating)","Skilled Worker"
"PRINCE FANCY GOODS LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"Prince of Wales Medical Centre","London",,"Worker (A rating)","Skilled Worker"
"Prince Regent Hotel LTD","London",,"Worker (A rating)","Skilled Worker"
"Princelet Partners Ltd","London",,"Worker (A rating)","Skilled Worker"
